Year,Title,Genre,Plot,Actors,Director,Rated,Runtime,Metascore
1920,A Movie Hero,"Comedy, Short",N/A,"Jimmie Adams, Louise Lorraine",Fred Hibbard,N/A,N/A,N/A
1920,Movie Fans,"Short, Comedy",The dyed-in-the-wool movie fan who is not content to look at pictures but must see how they are made is richly caricatured in this short.,"Gordon Lewis, Lige Conley, Charlotte Mineau",Erle C. Kenton,N/A,20 min,N/A
1920,Movie Madness,"Short, Comedy","The residents of the hall room become motion picture producers, enlisting the aid of the wealthy father of a girl struck with the craze of becoming a screen star. Of course the example of the cinema art that they turn out is atroc...","Hugh Fay, Neely Edwards, Helen Howell",N/A,N/A,N/A,N/A
1921,The Movie Trail,"Short, Western",N/A,"Hoot Gibson, John Judd, Charles Newton, Marcella Pershing",Charles Thompson,N/A,20 min,N/A
1921,Movie Struck,"Comedy, Short",N/A,Billy Bletcher,Ward Hayes,N/A,N/A,N/A
1921,Movie Mad,"Short, Comedy",N/A,"Dorothy Devore, Neal Burns, Gino Corrado, George B. French",William Beaudine,N/A,N/A,N/A
1921,A Monkey Movie Star,"Short, Comedy","Joe dreams he has become a high salaried, temperamental movie star.","Joe Martin, John Brown",Harry Burns,N/A,N/A,N/A
1921,A Movie Trip Through Filmland,"Animation, Short",N/A,N/A,Paul Fenton,N/A,N/A,N/A
1921,Movie Mad,"Short, Comedy",N/A,Bessie Eyton,N/A,N/A,N/A,N/A
1922,The Original Movie.,"Short, Animation, Comedy","A look at the filmmaking process in the prehistoric era, inside the Stonehenge Film Company. It seems some things haven't changed much. The process begins with the writer dropping off his script, which the director immediately cho...",N/A,Tony Sarg,Unrated,8 min,N/A
1922,Walter Makes a Movie,"Short, Comedy",Walter finds an actress's lost handbag and spoils her film.,"Walter Forde, Pauline Peters, Tubby Phillips","Walter Forde, Tom Seymour",N/A,N/A,N/A
1922,A Movie Mixup,"Comedy, Short",N/A,"Roy Atwell, Ethel Ritchie",Craig Hutchinson,N/A,N/A,N/A
1922,Pop Tuttle's Movie Queen,"Short, Comedy",N/A,"Dan Mason, Wilna Wilde, Charles Gerson, Jamie Gray",Robert Eddy,N/A,N/A,N/A
1923,The Movie Daredevil,"Animation, Comedy, Short",N/A,N/A,Earl Hurd,N/A,N/A,N/A
1923,A Movie Fantasy,"Animation, Short",a child who was in a play that comes alive,N/A,Henry 'Hy' Mayer,N/A,N/A,N/A
1923,Squirrelville Movie Actors at Home,"Short, Comedy",N/A,N/A,N/A,N/A,N/A,N/A
1924,Kino-Pravda No. 18: A Movie Camera Race Over 299 Meters and 14 Minutes and 50 Seconds in the Direction of Soviet Reality,"Short, News","A series of newsreel films from Dziga Vertov, Elizaveta Svilova, and Mikhail Kaufman which document Russian Life in the early 1920s.",N/A,Dziga Vertov,N/A,13 min,N/A
1924,Movie Aristocrats,"Documentary, Short",N/A,N/A,E.V. Durling,N/A,N/A,N/A
1924,The Third Dimension Movie,Short,N/A,N/A,"Frederick Eugene Ives, Jacob Leventhal",N/A,N/A,N/A
1924,A Movie Pioneer,"Animation, Short",N/A,N/A,N/A,N/A,N/A,N/A
1924,A Movie Mad Maid,"Short, Comedy",N/A,Elfie Fay,Albert Herman,N/A,N/A,N/A
1925,Movie Morsels,"Animation, Short",N/A,N/A,N/A,N/A,N/A,N/A
1925,Old Time Movie Show,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
1926,Movie Medley,"Animation, Short",N/A,N/A,N/A,N/A,N/A,N/A
1926,Movie Madness,"Comedy, Short",N/A,Edna Marion,Francis Corby,N/A,N/A,N/A
1927,The Movie Hound,"Comedy, Short",N/A,"Phil Dunham, Estelle Bradley, Wallace Lupino",Mark Sandrich,N/A,N/A,N/A
1928,Movie Mania,"Short, Comedy","Part of a short-lived ""Izzie and Lizzie"" series named after the male and female ingénues in two comically contrasted families living next door to one another, this slapstick adventure finds Lizzie Murphy (Bess True) ""going Hollywo...","Georgie Chapman, Bess True, Billy Gilbert",N/A,Not Rated,18 min,N/A
1928,The Movie Man,"Short, Comedy",N/A,"Charley Rogers, Violet Palmer, Walter Rodgers",Archie Mayo,N/A,9 min,N/A
1928,The Movie Horoscope,N/A,"A series of twelve short films based on the twelve signs of the Zodiac, one for each month, titled chronologically from ""People Born in January"" to ""People Born in December."" 2-strip ...",N/A,James A. FitzPatrick,N/A,N/A,N/A
1928,Movie Crazy,N/A,N/A,"Atsushi Watanabe, Junko Kume, Takeshi Sakamoto, Kenji Ôyama",Torajirô Saitô,N/A,N/A,N/A
1929,Man with a Movie Camera,Documentary,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.","Mikhail Kaufman, Elizaveta Svilova",Dziga Vertov,Not Rated,68 min,96
1929,Movie Night,"Short, Comedy, Family","A family goes on its weekly outing to the movies, but the evening is hampered by an attempt to pass the wife's brother off as a child, a crowded theater, and the daughter's apparently contagious case of the hiccups.","Charley Chase, Eugenia Gilbert, Edith Fellows",Lewis R. Foster,N/A,20 min,N/A
1929,A Moving Movie Show,"Animation, Short",N/A,N/A,N/A,N/A,N/A,N/A
1929,Hoover Home Movie: Fishing Trip,"Short, History, Reality-TV","A Rare Kodacolor Home Movie Shows Herbert And Lou Henry Hoover With Friends, Jeremiah And Katherine Millbank Fishing Off The Florida Coast In 1929.","Herbert Hoover, Lou Henry Hoover, Jeremiah Millbank",N/A,N/A,9 min,N/A
1931,Movie Mad,"Animation, Short","Flip the Frog wants to be a movie actor, but a guard thwarts his attempts to sneak inside a movie studio.",Billy Bletcher,Ub Iwerks,N/A,7 min,N/A
1931,Movie-Town,"Short, Comedy, Sport","In this fictional film with fictional characters, Baron Gonzola (Luis Alberni)is trying to sell Mack Sennett (Mack Sennett) and William Beaudine (William Beaudine)on the idea of starring his new prodigy, Marge (Marjorie Beebe) in ...","Marjorie Beebe, Luis Alberni, Frank Eastman",Mack Sennett,Passed,17 min,N/A
1931,Thrilling Movie - Rescue and Desertion White Caudle and Price Photos by Migsie Richardson,"Documentary, Short",N/A,Vincent Price,N/A,N/A,3 min,N/A
1932,Movie Crazy,"Comedy, Family, Romance","After a mix-up with his application photograph, an aspiring actor is invited to a test screening and goes off to Hollywood.","Harold Lloyd, Constance Cummings, Kenneth Thomson","Clyde Bruckman, Harold Lloyd",Passed,84 min,N/A
1932,The Movie Album,"Documentary, Short, Comedy","This short features clips from silent films (mostly unidentified) of the 1910's, accompanied by humorous commentary. Highlighted are early appearances of stars still recognized today (e.g., Lionel Barrymore, Norma Shearer), as wel...","Lionel Barrymore, John Bunny, Harry Carey",N/A,Approved,10 min,N/A
1932,The Movie Album #2,"Short, Comedy",This short subject shows excerpts from three unidentified silent films (although several stars are identified) with humorous commentary unrelated to the actual plots.,"John Bunny, George Cooper, Dolores Costello",N/A,Approved,10 min,N/A
1932,The Naggers: Movie Dumb,Short,N/A,N/A,N/A,N/A,9 min,N/A
1933,Movie Memories #1,"Short, Comedy",A short film made up of clips from silent movies and newsreels with new witty narration added.,"Leo Donnelly, Tommy Burns, James J. Corbett",N/A,N/A,10 min,N/A
1933,Movie Struck,"Animation, Short",N/A,N/A,"Dick Huemer, Sid Marcus",N/A,6 min,N/A
1934,Movie Memories #2,"Documentary, Short","Using archival footage and stills, this short film briefly reflects on Hollywood's humble beginnings and then offers tributes, one after the other, to a long list of early film stars who had passed away.","Art Acord, Renée Adorée, Roscoe 'Fatty' Arbuckle",Ralph Staub,Approved,8 min,N/A
1934,Movie Memories #2,"Documentary, Short","This film contains excerpts from for Paramount silent films: BLOOD AND SAND (1922), THE COVERED WAGON (1923), THE MIRACLE MAN (1919), and BEAU GESTE.","Rudolph Valentino, Nita Naldi, J. Warren Kerrigan",N/A,N/A,N/A,N/A
1934,Movie Daze,"Comedy, Short","A movie director agrees to film a woman producer's awful script starring her equally inept sons, with disastrous results.","Douglas Wakefield, Billy Nelson, Billy Gilbert",Gus Meins,Passed,19 min,N/A
1934,The Hollywood Movie Parade,Short,N/A,Bela Lugosi,N/A,N/A,N/A,N/A
1935,Movie Making in Japan: A Screen Snap-shot,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
1936,Movie Maniacs,"Comedy, Short","The Stooges arrive in Hollywood hoping to make it in the movie business (""There must be a couple a hundred guys in Hollywood who don't know anything about making movies, three more ain't gonna make any difference"".) They sneak int...","Moe Howard, Larry Fine, Curly Howard",Del Lord,N/A,18 min,N/A
1936,Movie Melodies on Parade,"Short, Musical",N/A,"Andre Kostelanetz, Mary Eastman",Fred Waller,N/A,11 min,N/A
1936,Movie Episode 11 - The Circus (1936),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1937,Movie-Mania,"Short, Comedy, Musical","Dave Apollon is a one-man production staff, who puts on a stage show as writer, director, producer, bandleader, art director, and other jobs.","Dave Apollon, Tommy Rafferty, Clark &amp; Halliday",Joseph Henabery,TV-G,21 min,N/A
1938,Movie Phoney News,"Animation, Short",N/A,"Billy Bletcher, Shirley Reed, Danny Webb","Alex Lovy, Tex Avery, Walter Lantz",N/A,7 min,N/A
1938,Behind the Movie Lens,"Documentary, Short","This promotional short for The Bad Man of Brimstone (1937) begins by showing the cast and crew arriving at Zion National Park and setting up for location shooting. The last minute is a ""...","Wallace Beery, Virginia Bruce, Guy Kibbee, Dennis O'Keefe",N/A,N/A,4 min,N/A
1938,The Adventures of Robin Hood (1938)/The Hours (2002) - 95 Movie Buff Specialists (Ep 6),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1939,Porky's Movie Mystery,"Animation, Family, Short",Mr. Motto (Porky) is called back from vacation to catch the invisible man.,"Mel Blanc, Sara Berner, Danny Webb",Robert Clampett,N/A,7 min,N/A
1940,Famous Movie Dogs,"Documentary, Short",Well known canine performers of the 1930s vie for a part in an upcoming movie.,"John Deering, Von the Dog, Asta",Del Frazier,N/A,10 min,N/A
1940,Fantasia (1940)/The Last Picture Show (1971) - 55 Movie Buff Specialists (Ep 46),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1942,Movie Circus,"Animation, Short, War",N/A,N/A,"Leonid Amalrik, Olga Khodatayeva",N/A,4 min,N/A
1944,Movie Pests,"Comedy, Short",A humorous look at the inconsiderate pests whose annoying habits make enjoying a movie impossible.,"Pete Smith, William Bailey, Margaret Bert",Will Jason,Approved,11 min,N/A
1944,Groovie Movie,"Short, Comedy, Music","A boogie-woogie piano introduces what purports to be a jitterbug lesson, starring prize winner Arthur Walsh, his partner Jean Phelps-Veloz, and then later various other couples. We start with steps imported from other dances, like...","Pete Smith, Buster Brodie, Dorothy Ford",Will Jason,N/A,10 min,N/A
1945,Big Chungus the Movie: The Dead Memes,Comedy,N/A,N/A,Peyton Mcfarland,N/A,N/A,N/A
1946,"Screen Snapshots Series 25, No. 5: Movie Stuntmen and Doubles","Documentary, Short",N/A,N/A,Ralph Staub,N/A,N/A,N/A
1947,"Screen Snapshots Series 26, No. 5: Hollywood Movie Columnists","Short, Documentary","This Columbia Screen Snapshots (number 5 for the 1946-47 production year with a production number of 8855) finds Staub and his camera paying (undeserved) homage to the radio and print-media gossip columnists of the era, including ...","Margot Brown, Harrison Carroll, Jimmy Fidler",Ralph Staub,N/A,9 min,N/A
1948,Lucky Strike Salesman's Movie 48-A,Short,"A short training film for American Tobacco Co. salesmen, featuring Frank Sinatra.","Frank Sinatra, Axel Stordahl",N/A,N/A,10 min,N/A
1949,Movie-Go-Round,N/A,N/A,"Donald Bisset, Renee Goddard, Sam Kydd",Fred Weiss,N/A,45 min,N/A
1950,Popeye Makes a Movie,"Animation, Short, Comedy","Popeye and Olive prepare to make a movie while his nephews watch. The movie is a significant portion of Popeye the Sailor Meets Ali Baba's Forty Thieves (1937), which makes up over 80% of this release (beginning with Popeye, Olive...","Jackson Beck, Jack Mercer, Mae Questel","Seymour Kneitel, Willard Bowsky, Dave Fleischer",N/A,9 min,N/A
1951,Movie Madness,"Animation, Short, Comedy","The talking magpies, Heckle and Jeckle, crash a movie studio driving a papier-mache limousine, and have no problem eluding the studio watchdog by disguising themselves, at various times, as knights-in-armor, Romeo and Juliet and, ...",Dayton Allen,Connie Rasinski,Approved,7 min,N/A
1953,Magic Movie Moments,"Documentary, Short","A Vitaphone Variety (production number 1603) made to precede or coincide with the reissue of Warner's ""Noah's Ark."" It is narrated by Dwight Weist and shows the original Broadway premier of the film, plus several scenes from the f...","Dwight Weist, Dolores Costello, Paul McAllister",Robert Youngson,N/A,10 min,N/A
1953,Hawaiian Surfing Movie,"Documentary, Adventure, Sport",N/A,Bud Browne,Bud Browne,N/A,N/A,N/A
1955,Spin and Marty: The Movie,"Family, Western",N/A,"Tim Considine, David Stollery, Roy Barcroft",N/A,N/A,N/A,N/A
1955,Hawaiian Surfing Movie,"Documentary, Adventure, Sport",N/A,N/A,Bud Browne,N/A,N/A,N/A
1956,Movie Fan,Comedy,N/A,"Amalia Fuentes, Juancho Gutierrez, Norma Vales",Tony Cayado,N/A,N/A,N/A
1958,A Movie,Short,"Clips of atomic explosions, pornography, and B-movies are spliced together to evoke certain emotions.",Theodore Roosevelt,Bruce Conner,N/A,12 min,N/A
1961,Films by Stan Brakhage: An Avant-Garde Home Movie,Short,N/A,N/A,Stan Brakhage,N/A,4 min,N/A
1963,Ingmar Bergman Makes a Movie,Documentary,"Vilgot Sjöman (I Am Curious -- Yellow 1967) and a crew from Swedish Television followed Ingmar Bergman during the filming of Winter Light and came away with a five-part documentary, including set construction, rehearsals, editing,...","Ingmar Bergman, Gunnar Björnstrand, Sven Nykvist",Vilgot Sjöman,Not Rated,146 min,N/A
1963,Episode 174: &quot;The Great Escape&quot; (1963): Movie Review,Talk-Show,"Chris McBrien and Derek Myers do something a little different this week. They decided to go way back in time and watch a true movie classic. They settled on the 1963 John Sturges prisoner of war film ""The Great Escape"" starring St...","Chris McBrien, Derek Myers",N/A,N/A,N/A,N/A
1963,The Birds (1963)/Inglourious Basterds (2009) - 63 Movie Buff Specialists (Ep 38),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1964,How to Plan a Movie Murder,Short,"The writer, director and star of the 1964 horror film ""Strait-Jacket"" in a humorous featurette in which they plan ""the perfect murder."" Includes clips from ""Strait-Jacket.""","Robert Bloch, William Castle, Joan Crawford",William Castle,N/A,4 min,N/A
1964,The Movie Maker,Drama,N/A,"Rod Steiger, Dabney Coleman, Robert Culp",Ron Winston,N/A,91 min,N/A
1964,Inside the Movie Kingdom - 1964,Documentary,Portrait of the contemporary American and international film industry.,"Julie Andrews, Carroll Baker, Ingrid Bergman",N/A,N/A,75 min,N/A
1964,Goldfinger (1964)/Sunset Blvd. (1950) - 56 Movie Buff Specialists (Ep 45),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1965,The Making of a Movie,"Documentary, Short",The making of In Harm's Way (1965).,N/A,N/A,N/A,8 min,N/A
1965,Repulsion (1965)/Before Sunset (2004) - 39 Movie Buff Specialists (Ep 62),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,Batman: The Movie,"Action, Adventure, Comedy",The Dynamic Duo face four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,"Adam West, Burt Ward, Lee Meriwether",Leslie H. Martinson,PG,105 min,71
1966,Word Movie,"Animation, Short","Single frame exposures of words, color.",N/A,Paul Sharits,N/A,4 min,N/A
1966,The Animal Movie,"Short, Animation","A boy plays with a horse, a bird, and a dolphin.",N/A,"Grant Munro, Ron Tunis",N/A,10 min,N/A
1966,"Movie Star, American Style or; LSD, I Hate You",Comedy,"Producer/director Albert Zugsmith's acid-therapy ""comedy,"" complete with a tinted trip sequence ""in hilarious LSD color."" A suicidal film star named Honey Bunny is sent by her producer to a rest home run by an unhinged Dr. Horatio...","T.C. Jones, Frank Delfino, Del Moore",Albert Zugsmith,N/A,99 min,N/A
1966,Messed Up Movie Makers,"Animation, Short","Heckle and Jeckle lease their entire motel to a film company, who wants to film a TV series there. However, they start wrecking their rooms and furniture during the action sequence, so the magpies have to devise a way to get them ...",Dayton Allen,"George Bakes, Al Chiarito",N/A,7 min,N/A
1966,Fluxfilm No. 34: Rainbow Movie,Short,N/A,N/A,Ay-o,N/A,N/A,N/A
1966,IS BATMAN (1966) THE BEST BATMAN MOVIE?,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,Marvo Movie,Short,N/A,N/A,Jeff Keen,N/A,5 min,N/A
1967,Speed Racer: The Movie,Animation,"Speed Racer, his girlfriend Trixie and all the gang are in a desperate race to save hundreds of lives from the evil clutches of ""The Car Hater."" Speed's daring driving is sure to thrill kids and parents alike!","Peter Fernandez, Corinne Orr, Jack Grimes",N/A,Not Rated,69 min,N/A
1967,The Mad Movie Maker,"Animation, Short","Mr. Flick, uses a projected image of a meteor to scare everyone out of the city, leaving him free to loot it.","Frank Buxton, Len Maxwell",Hal Seeger,N/A,5 min,N/A
1967,Star Trek: The 8mm Movie,"Short, Sci-Fi",N/A,"Rusty Rizzardi, John Callahan, Phillip Maddin",John Callahan,N/A,3 min,N/A
1967,Bob Dylan's Circus Movie,Drama,N/A,"Bob Dylan, Richard Manuel, N. Paul Stookey, Tiny Tim",Bob Dylan,N/A,N/A,N/A
1967,You Only Live Twice (1967)/Double Indemnity (1944)- 49 Movie Buff Specialists (Ep 52),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,"Home Movie, autour du 'Lit de la vierge'","Documentary, Short","A painter presents his own kind of ""making of"" documentary, without dialogue, playing games with light and superimpositions.","Tina Aumont, Pierre-Richard Bré, Pierre Clémenti",Frédéric Pardo,N/A,39 min,N/A
1968,Christopher's Movie Matinee,Documentary,"When a camera crew are sent to document hippie protests in Yorkville, Canada's counter-culture capital, they are charmed by a group of misunderstood kids with their own ideas about what kind of movie to make.","Graham Bourns, Jan Casson, Malcolm Dean",Mort Ransen,N/A,88 min,N/A
1968,How to Make a Dirty Movie,Comedy,N/A,"Ann Perry, Marland Proctor, Ray Sebastian",N/A,N/A,60 min,N/A
1968,Dead Movie,N/A,N/A,N/A,Takahiko Iimura,N/A,N/A,N/A
1968,Petulia: The Uncommon Movie,"Documentary, Short",N/A,"Richard Lester, Vincent Arias, Big Brother and the Holding Company",Ronald Saland,N/A,13 min,N/A
1968,Andy Makes a Movie,"Short, Documentary","Film professor Aaron Sloan doggedly interviews a reticent and distracted Andy Warhol as he directs an ""untitled surfing movie"" (the never-released ""San Diego Surf""), on location at Cliff Robertson's La Jolla, California beach hous...","Joe Dallesandro, Eric Emerson, Tom Hompertz",Robert Emmet Smith,Not Rated,22 min,N/A
1968,The Movie Experience: A Matter of Choice,"Documentary, Short",N/A,Charlton Heston,Tracy Ward,N/A,N/A,N/A
1969,Blue Movie,"Drama, Romance",Viva and Louis Waldon spend an idyllic afternoon together in an apartment in New York City.,"Viva, Louis Waldon",Andy Warhol,Unrated,105 min,N/A
1969,"I Am an Old Smoking, Moving Indian Movie Star",Short,N/A,N/A,Henri Plaat,N/A,5 min,N/A
1969,Akakage: 3-D Adventure Movie,"Action, Fantasy","A strange cult spreads its evil influence across the country, and it's up to Akakage to find out what the nefarious organization is up to.","Yûzaburô Sakaguchi, Yoshinobu Kaneko, Fuyukichi Maki","Junji Kurata, Tetsuya Yamanouchi",N/A,52 min,N/A
1969,42nd St Movie,Short,"Doob's first longer film begins with a shot of the sun setting over the Hudson River in New York City, and goes on to examine the nighttime street life found in the block of 42nd Street between Seventh and Eighth Avenues. As Doob ...",N/A,Nick Doob,G,17 min,N/A
1969,Home Movie,Short,N/A,N/A,"Arthur Cantrill, Corinne Cantrill",N/A,4 min,N/A
1969,The Mississauga Movie,"Documentary, Short","Developer Bruce McLaughlin outlines his view on urbanism, talking the viewer to historic city centres throughout Europe and the United States.",N/A,"William T. Marshall, Gilbert W. Taylor",N/A,16 min,N/A
1969,The Strange But Unknown Movie Star,Short,N/A,N/A,Henri Plaat,N/A,9 min,N/A
1969,Computer Movie No. 2,"Animation, Short",N/A,N/A,N/A,N/A,8 min,N/A
1969,Computer Movie No. 1,"Animation, Short",N/A,N/A,N/A,N/A,8 min,N/A
1970,The Longest Most Meaningless Movie in the World,"Documentary, Drama, History",The Longest Most Meaningless Movie in the World is an underground movie made in the UK that runs to 48 hours long.,N/A,Vincent Patouillard,TV-14,2880 min,N/A
1970,The Movie Murderer,"Crime, Drama, Mystery","An experienced arson investigator takes along his young associate when he believes that a master arsonist is responsible for a series of fires and the motive may be the destruction of all prints of an ""art"" film.","Arthur Kennedy, Warren Oates, Tom Selleck",Boris Sagal,N/A,99 min,N/A
1970,The Hog Farm Movie,"Documentary, Short","A commune of improvisational theatre performers, musicians, light-show artists, film makers, geodesic dome designers and former members of Ken Kesey's Merry Pranksters takes shape on a mountaintop in southern California, where the...",N/A,David Lebrun,N/A,37 min,N/A
1970,This Is My Black Movie,Short,"Surreal short full of dreamlike images featuring a man being seduced by a woman, juxtaposed with images of faces, skulls and spiders.","Tim Zentner, Francine Podenski",Richard Gaikowski,N/A,6 min,N/A
1971,The Last Movie,Drama,"After a film production wraps in Peru, an American wrangler decides to stay behind to witness the ways that filmmaking affects the locals.","Julie Adams, Daniel Ades, Richmond L. Aguilar",Dennis Hopper,R,108 min,N/A
1971,Blue Movie,Drama,"Twenty-five-year-old Michael (Hugo Metsers) has been released from prison after a five year sentence. He moves into a big apartment block, filled with young women who gladly have sex with him.","Hugo Metsers, Helmert Woudenberg, Bruni Heinke",Wim Verstappen,Unrated,88 min,N/A
1971,The Movie Crazy Years,Documentary,N/A,"Michael Tolan, Busby Berkeley, Joan Blondell, John Bright",N/A,N/A,85 min,N/A
1971,The World Is Just a 'B' Movie,Drama,N/A,"James Christopher, Robert Lincoln Robb, Riki Ferguson","R.D. Robinson, Alan Steckery",N/A,90 min,N/A
1971,Movie Sets,Documentary,N/A,N/A,"Charles Eames, Ray Eames",N/A,N/A,N/A
1971,Oh! Movie!,Documentary,N/A,"Dieter Erfurth, Andreas Breuer, Richard Cramer, Werner Daubitz","Thomas Draeger, Dieter Erfurth",N/A,61 min,N/A
1971,Luxman Baul's Movie,Documentary,"The film has an element of music-tour documentary, but it is equally mixed with travelogue and ethnographic study. It is without the frenetic pace of the Dylan films or the intense purposefulness of the Chicago films, but instead ...",N/A,Howard Alk,N/A,90 min,N/A
1971,The House Construction Home Movie,"Animation, Short","A house is built, high in the Green Mountains, from foundation excavation to installation of windows in 11 minutes via the technique of stop-motion photography. Virtuoso banjo score by Eric "" Deliverance"" Weissberg.","Consuelo Arostegui, Richard Brick, Robert Cane, William Doyle",Richard Brick,N/A,N/A,N/A
1972,The Underground Movie,"Animation, Short, Comedy","Using gadgets and a special machine, called Old Chucknose, an inventor and his crew attempt to dig into the other side of the earth.","Jim Macaulay, John O'Leary",Les Drew,N/A,14 min,N/A
1972,The Return of the Movie Movie,"Documentary, Short",Promotional documentary on the making of The Poseidon Adventure (1972).,"Jack Albertson, Irwin Allen, Charles Bateman, Ernest Borgnine",Andrew J. Kuehn,N/A,10 min,N/A
1972,Henshin Ninja Arashi the Movie,"Short, Action",N/A,"Hiroko Hayashi, Kanyu Matsuba, Tatsuya Nanjô",N/A,N/A,N/A,N/A
1972,"Projection Piece, or Dead Movie Re-Titled",N/A,N/A,N/A,Takahiko Iimura,N/A,N/A,N/A
